run_name,lstm_units,dropout,batch_size,epochs,train_accuracy,val_accuracy,val_loss,test_accuracy,test_precision,test_recall,test_f1
Run_1_baseline_bilstm,64,0.5,32,10,0.9955,0.954,0.1555,0.9587,0.7877,0.9463,0.8598
Run_2_more_units,128,0.5,32,10,0.9972,0.9787,0.1029,0.9821,0.9388,0.9262,0.9324
Run_3_less_dropout,64,0.3,32,10,0.9994,0.9776,0.1136,0.9794,0.9145,0.9329,0.9236
Run_4_high_lr,64,0.5,32,10,0.998,0.9709,0.137,0.9857,0.9586,0.9329,0.9456
Run_5_low_lr,64,0.5,32,10,0.9764,0.9619,0.1178,0.9659,0.8364,0.9262,0.879
Run_6_small_batch,64,0.5,16,10,0.9994,0.9809,0.1171,0.983,0.9333,0.9396,0.9365
Run_7_large_units_low_drop,128,0.3,32,10,1.0,0.9809,0.1168,0.983,0.9392,0.9329,0.936
Run_8_complex,128,0.4,16,12,0.9975,0.9383,0.1611,0.974,0.8797,0.9329,0.9055
