accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0.9130434989929199,0.3424302339553833,0.64532870054245,0.7803347110748291,0.9551569223403931,0.16347450017929077,0.7777777910232544,0.9333333373069763
0.9761570692062378,0.11158628761768341,0.8728652596473694,0.9623430967330933,0.9540358781814575,0.1375957876443863,0.7651006579399109,0.949999988079071
0.9876577854156494,0.056889187544584274,0.9288537502288818,0.9832636117935181,0.9517937302589417,0.13569633662700653,0.7583892345428467,0.9416666626930237
0.9949508905410767,0.03455393761396408,0.9713114500045776,0.991631805896759,0.939461886882782,0.194334477186203,0.7037037014961243,0.949999988079071
0.9971949458122253,0.018021205440163612,0.9854771494865417,0.9937238693237305,0.9551569223403931,0.13067622482776642,0.7816901206970215,0.925000011920929
0.9974754452705383,0.00906569417566061,0.983505129814148,0.9979079365730286,0.9730941653251648,0.09908641874790192,0.875,0.9333333373069763
0.9983169436454773,0.007870601490139961,0.9876033067703247,1.0,0.9753363132476807,0.10410882532596588,0.9016393423080444,0.9166666865348816
0.9980364441871643,0.008094141259789467,0.9896050095558167,0.9958158731460571,0.9495515823364258,0.2629103660583496,0.7516778707504272,0.9333333373069763
0.9966339468955994,0.01586398109793663,0.9834024906158447,0.991631805896759,0.9786995649337769,0.09170161187648773,0.9105691313743591,0.9333333373069763
0.9985975027084351,0.007983307354152203,0.9916840195655823,0.9979079365730286,0.9809417128562927,0.09424775838851929,0.947826087474823,0.9083333611488342
0.999439001083374,0.0016408361261710525,0.9958333373069763,1.0,0.9809417128562927,0.12103988975286484,0.9724770784378052,0.8833333253860474
0.999719500541687,0.0016813508700579405,0.9979122877120972,1.0,0.9820627570152283,0.12109999358654022,0.9727272987365723,0.8916666507720947
